Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2011,Central African Republic,Low,458.33,2051567618,0.0062,0.4933,0.5067,0,0,0.0122,0,4476153,13289,0.003,Low,Meddle,0.95297498,0.34673367
2012,Central African Republic,Low,475.67,2135944447,0.0032,0.4933,0.5067,0,0,0,0,4490416,12522,0.0028,Low,Meddle,1.49311426,0.36180905
2009,Afghanistan,Low,524.82,14697331941,0.0257,0.5141,0.4859,0,0,0,0,28004331,95185,0.0034,Low,High,0.78485481,0.37688442
2010,Afghanistan,Low,553.3,15936800636,0.0281,0.5138,0.4862,0,0,0.0346,0.0009,28803167,0,0,Meddle,Low,0.76236019,0.3919598
2011,Afghanistan,Low,569.23,16911126453,0.031,0.5138,0.4862,0.3779,0.0841,0.0344,0.001,29708599,97504,0.0033,Meddle,High,1.00996279,0.40703518
2014,Afghanistan,Low,610.24,19990317161,0.0318,0.5152,0.4848,0,0,0.0378,0.0014,32758020,262874,0.008,Meddle,High,1.14323606,0.42211055
2013,Afghanistan,Low,621.82,19731337261,0.0332,0.5147,0.4853,0,0,0.0347,0.001,31731688,0,0,Meddle,Low,0.85842033,0.43718593
2012,Afghanistan,Low,630.43,19352203806,0.0327,0.5142,0.4858,0,0,0.0252,0.0008,30696958,0,0,Meddle,Low,1.31304928,0.45226131
2005,Pakistan,Low,974.54,1.50E+11,0.0205,0.5154,0.4846,0.6036,0.2732,0.0225,0,153909667,782621,0.0051,Meddle,Meddle,1.14099526,0.46733668
2006,Pakistan,Low,1013.77,1.59E+11,0.0205,0.5152,0.4848,0.6429,0.3062,0.0263,0,157093993,820347,0.0052,Meddle,Meddle,0.9548088,0.48241206
2005,Vietnam,Low,1035.92,85351803030,0.0117,0.4925,0.5075,0,0,0,0,82392100,1354543,0.0164,Low,Low,1.78045181,0.49748744
2008,Pakistan,Low,1037.58,1.70E+11,0.0204,0.5146,0.4854,0.6604,0.3007,0.0275,0,163644603,973792,0.006,Meddle,Meddle,1.60468088,0.51256281
2010,Pakistan,Low,1040.14,1.77E+11,0.0208,0.5141,0.4859,0.6611,0.3099,0.0229,0,170560182,0,0,Meddle,Low,1.55871828,0.52763819
2007,Pakistan,Low,1041.29,1.67E+11,0.0204,0.5149,0.4851,0,0,0.0264,0,160332974,954698,0.006,Meddle,Meddle,1.63421686,0.54271357
2009,Pakistan,Low,1045.21,1.75E+11,0.0206,0.5143,0.4857,0.6585,0.3031,0.0259,0,167049580,1226004,0.0073,Meddle,Meddle,1.62311495,0.55778894
2011,Pakistan,Low,1046.49,1.82E+11,0.021,0.514,0.486,0.6411,0.3191,0.0222,0,174184265,1572664,0.009,Meddle,Meddle,1.42324172,0.57286432
2012,Pakistan,Low,1060.5,1.89E+11,0.0212,0.5138,0.4862,0.6707,0.3267,0.0214,0,177911533,1816949,0.0102,Meddle,Meddle,1.4278313,0.5879397
2013,Pakistan,Low,1083.97,1.97E+11,0.0211,0.5138,0.4862,0.6579,0.317,0.0249,0.0005,181712595,1915419,0.0105,Meddle,Meddle,1.74132066,0.60301508
2006,Vietnam,Low,1095.98,91307613277,0.0111,0.4927,0.5073,0,0,0,0,83311200,1427046,0.0171,Low,Low,1.99026063,0.61809045
2014,Pakistan,Low,1111.2,2.06E+11,0.0209,0.5137,0.4863,0.6625,0.3377,0.0247,0.0005,185546257,1931875,0.0104,Meddle,Meddle,1.65158748,0.63316583
